PARTNER_CODE,"REF_CONTEXT_
TYPE_CODE",FEES,"REVSHARE_
CAT","REVSHARE_
MODEL","BUSINESS_
TYPE","PRODUCT_
TYPE","PRICING_
MODEL_NAME",FORMULA,"EXCEPTION_
PRICING_MODEL_NAME1","EXCEPTION_
FORMULA1","ENTITY_
GROUP_1","EXCEPTION_
PRICING_MODEL_NAME2","EXCEPTION_
FORMULA2","EXCEPTION_
GROUP_2","EXCEPTION_
PRICING_MODEL_NAME3","EXCEPTION_
FORMULA3","EXCEPTION_
GROUP_3"
PTM_VISA_JP,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
HAA_TRAVELWORLDORANG,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,By Formula,(hotelComponentCost+hotelComponentTax+customerServiceFee+hotelPropertyMarkup)-((hotelComponentCost+hotelComponentTax+customerServiceFee+hotelPropertyMarkup)/(1+0.12)),,,,,,,,,
PTM_VISA_JAPAN,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
PTM_VISA_KR,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
PTM_ID90,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
PTM_RAVEGROUP,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,By Formula,(hotelPropertyMarkup-(0.09*(hotelComponentCost+hotelComponentTax+customerServiceFee+hotelPropertyMarkup)))*0.5,By Formula,(((hotelComponentCost+hotelComponentTax+customerServiceFee)*0.15)-(0.09*(hotelComponentCost+hotelComponentTax+customerServiceFee)))*0.5,CY@AR@XV@BR@EB@RC@TO@BG@VC@ET@FN@AK@RZ@ZX@MC@YO@HI@IN@IC@EX@CP@SB@AN,,,,,,
PTM_VISA_CITI_PMILE,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
VISA_TH,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
PTM_VISA_RU,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
PTM_ID90,HOT,Zero Fees,REVENUE_SHARE,Flat Model,MERCHANT,HOT,$ per Transaction,0,,,,,,,,,
