Partner code,POS,GB,$txn,Profit,Markup,Fee,Tax
PTM_VISA_JP,PTM,,Yes,,,,
HAA_TRAVELWORLDORANG,HAA,,,,Yes,Yes,Yes
PTM_VISA_JAPAN,PTM,,Yes,,,,
PTM_VISA_KR,PTM,,Yes,,,,
PTM_ID90,PTM,,Yes,,,,
PTM_RAVEGROUP,PTM,,,,Yes,Yes,Yes
PTM_VISA_CITI_PMILE,PTM,,Yes,,,,
VISA_TH,VISA,,Yes,,,,
PTM_VISA_RU,PTM,,Yes,,,,
PTM_ID90,PTM,,Yes,,,,
HAA_BUDGET,HAA,,,,Yes,Yes,Yes
HAA_TRAVELNZ,HAA,,,,Yes,Yes,Yes
PTM_ABSA_VISA,PTM,,Yes,,,,
HAA_RAMSAYHEALTH,HAA,,,,Yes,Yes,Yes
PTM_JCB,PTM,,,,Yes,Yes,Yes
PTM_CENTRALHOSTOFFIC,PTM,,,,Yes,Yes,Yes
HAA_ALLCHEAPHOTELS,HAA,,,,Yes,Yes,Yes
HAA_CAIRNSRESERVATIO,HAA,,,,Yes,Yes,Yes
PTM_VISA_EN,PTM,,,,Yes,Yes,Yes
PTM_LASTMINUTEBEDS,PTM,,,,Yes,Yes,Yes
PTM_JATRAVEL,PTM,,,,Yes,Yes,Yes
PTM_ONHOLIDAY,PTM,,,,Yes,Yes,Yes
PTM_CHEAP2GO,PTM,,,,Yes,Yes,Yes
PTM_FINDAROOM_STAFF,PTM,,,Yes,,,
PTM_ALLHOTEL,PTM,,,,Yes,Yes,Yes
HAA_ALLCHEAPHOTELS,HAA,,,,Yes,Yes,Yes
HAA_PLANBOOKTRAVEL,HAA,,,,Yes,Yes,Yes
HAA_ACCOMMODATIONARO,HAA,,,,Yes,Yes,Yes
HAA_WORLDSTAYS,HAA,,,,Yes,Yes,Yes
PTM_TRANSTAR,PTM,,,,Yes,Yes,Yes
HAA_HOTELGAIDO,HAA,,,,Yes,Yes,Yes
PTM_BIGLOBE,PTM,,,,Yes,Yes,Yes
HAA_GLOBALROOMS,HAA,,,,Yes,Yes,Yes
HAA_ALLCHEAPHOTELS,HAA,,,,Yes,Yes,Yes
HAA_SYDNEYONTHEWEB,HAA,,,,Yes,Yes,Yes
PTM_COXANDKINGS,PTM,,,,Yes,Yes,Yes
HAA_AUSEMADE,HAA,,,,Yes,Yes,Yes
HAA_NEWZEALANDNZ,HAA,,,,Yes,Yes,Yes
PTM_AGENCIASDEVIAJES,PTM,,,,Yes,Yes,Yes
HAA_SUNZINE,HAA,,,,Yes,Yes,Yes
PTM_COMOVIAJAR,PTM,,,,Yes,Yes,Yes
